"gene" "TF" "p_value" "FDR" "rho"
"28" "EDN1" "ESR1" 0.0615449940754466 0.174806408843693 -0.221461187214612
"29" "EDN1" "CREM" 0.0447870238178672 0.146941696121542 0.237249983921796
"30" "EDN1" "MZF1" 0.21954372251478 0.421755045883655 -0.146472441957682
"31" "EDN1" "PATZ1" 0.0064527694193263 0.0483130428318789 -0.318187664801595
"32" "EDN1" "XBP1" NA NA NA
"33" "EDN1" "HNF4A" 0.558772088664516 0.724118015556799 -0.0700447597005235
"34" "EDN1" "TCFL5" 0.39389281118953 0.608553972843083 -0.102000128625635
"35" "EDN1" "ELF4" 0.613187360634352 0.766605780070201 0.0605826741269535
"36" "EDN1" "KLF5" 0.0113042345722754 0.0689932707811858 0.296964435011898
"37" "EDN1" "CTCF" 0.185666047709302 0.37389300642149 -0.157759341436748
"38" "EDN1" "MAZ" 0.00441479995809059 0.0379153408165427 -0.331757669303492
"39" "EDN1" "TRPS1" 0.319258745605551 0.523727829869781 0.119043025274937
"40" "EDN1" "KLF1" 0.777642363494647 0.86843817300061 0.0338634208616413
"41" "EDN1" "ETV2" 0.472480266960474 0.662965561618642 0.0860183934658177
"42" "EDN1" "ERF" 0.300280397976635 0.497887179114838 0.123770017364461
"43" "EDN1" "ZNF574" 0.433837148142268 0.633402236287712 -0.0936716187536176
"44" "EDN1" "SP4" 0.757779186149279 0.860978686208519 0.0369798700881086
"45" "EDN1" "TFEC" 0.182956652910952 0.370995435069431 0.158724033699916
"46" "EDN1" "POU6F2" 0.0767907599906062 0.207618451656691 0.209895044786302
"47" "EDN1" "GLI3" 0.586456069196201 0.751075316689872 -0.0651810405813879
"48" "EDN1" "LHX2" 0.398174593203268 0.611931480080812 -0.101084483607386
"49" "EDN1" "CREB3" 0.701504729014958 0.819357523489471 0.0459515081355714
"50" "EDN1" "EBF3" 0.104717251452197 0.252706094413567 0.192777670589749
"51" "EDN1" "HLF" 0.0152429098640985 0.0839798052889953 0.285002250948614
