ensembl_gene_id	d0_A_Rep1	d0_A_Rep2	d0_A_Rep3	d0_A_Rep4	d0_Y_Pax7_Rep1	d0_Y_Pax7_Rep2	d0_Y_Pax7_Rep3	d0_Y_Rep1	d0_Y_Rep2	d0_Y_Rep3	d0_Y_Rep4	d1_A_Rep1	d1_A_Rep2	d1_Y_Rep1	d1_Y_Rep2	d1_Y_Rep3	d3_A_Rep1	d3_A_Rep2	d3_Y_Rep1	d3_Y_Rep2	d3_Y_Rep3	d5_A_Rep1	d5_A_Rep2	d5_Y_Rep1	d5_Y_Rep2	d7_A_Rep1	d7_A_Rep2	d7_A_Rep3	d7_A_Rep4	d7_Y_Rep1	d7_Y_Rep2	d7_Y_Rep3	d7_Y_Rep4
ENSMUSG00000050505	0.748461233	0.669026766	2.241840184	2.443606651	0	2.13422094	0.59454855	0.070389328	0.475084883	0.831877241	0.454175893	1.827819025	1.748461233	2.726831217	2.283921772	0.847996907	0.687060688	0.722466024	0.23878686	0.275007047	0.189033824	0.111031312	0.111031312	0.722466024	0.970853654	1.709290636	1.673556424	0.773996325	0.97819563	1.35614381	2.042644337	0.871843649	1.929790998
ENSMUSG00000050511	0	0	0	0	0	0.367371066	0.070389328	0	0	0	0	0	0	0	0	0	0.028569152	0	0.014355293	0.014355293	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050520	0	0	0	0	0	0	0	0	0.014355293	0.014355293	0.014355293	0.028569152	0	0.201633861	0.084064265	0.028569152	0.150559677	0	0	0.014355293	0	0	0	0	0.014355293	0	0	0	0	0.23878686	0	0	0
ENSMUSG00000050526	0	0	0	0	0	0	0.070389328	0	0	0	0	0	0	0	0	0	0.084064265	0	0.014355293	0.028569152	0	0	0	0	0	0	0	0	0	0.111031312	0	0	0
ENSMUSG00000050530	0.933572638	0.910732662	3.001802243	3.385431037	2.372952098	4.286881148	4.388878339	3.695993813	1.992768431	2.627606838	2.983677695	3.270528942	3.214124805	2.678071905	2.606442228	3.037382222	2.025028794	3.22342255	2.333423734	2.3305584	3.510961919	3.921245889	3.929790998	2.341985747	2.336283388	3.269033146	3.285402219	3.214124805	3.62058641	2.523561956	3.269033146	3.189033824	3.510961919
ENSMUSG00000050533	0.286881148	0	2.353323291	2.341985747	1.389566812	2.195347598	1.691534165	2.220329955	0	0.150559677	0.659924558	1.310340121	0.35614381	0.495695163	1.367371066	0.887525271	0.739848103	0.731183242	0.056583528	1.15704371	0.941106311	1.389566812	1.077242999	1.726831217	1.726831217	1.669026766	1.570462931	1	1.650764559	1.117695043	0.97819563	0.59454855	1.469885976
ENSMUSG00000050534	0.111031312	0.042644337	0	0	0	0.014355293	0	0	0	0.189033824	0.084064265	0	0.014355293	0.163498732	0.163498732	0.084064265	0	0.084064265	0	0	0	0	0	0	0.084064265	0.275007047	0.22650853	0	0.084064265	0.097610797	0	0	0
ENSMUSG00000050538	2.403267722	2.480265122	2.201633861	2	1.545968369	2.3950628	2.250961574	1.700439718	1.989139007	2.454175893	2.12763328	1.673556424	1.89917563	1.40599236	1.459431619	2.003602237	1.970853654	1.709290636	1.867896464	1.875780063	1.613531653	1.799087306	2.017921908	1.560714954	2.049630768	1.510961919	1.545968369	1.735522177	1.50589093	1.3950628	2.341985747	1.310340121	1.627606838
ENSMUSG00000050541	0.575312331	0.59454855	1.378511623	1.5360529	0.659924558	0.641546029	0.443606651	0.263034406	0	0.411426246	0.263034406	0.555816155	0.695993813	0.201633861	0.713695815	0.137503524	0.526068812	0.275007047	0.98550043	0.97819563	0.526068812	0.23878686	0.124328135	0.422233001	0.678071905	0.97819563	1.028569152	0.748461233	1.084064265	0.790772038	0.748461233	1.13093087	1.189033824
ENSMUSG00000050545	0.250961574	0.214124805	1.310340121	0.378511623	0	0.201633861	0.622930351	0.070389328	0.028569152	0.111031312	0.070389328	0.201633861	0.263034406	0.150559677	0.137503524	0.23878686	0.22650853	0.189033824	0.214124805	0.310340121	0.097610797	0	0.042644337	0.201633861	0.286881148	0.367371066	0.263034406	1.40053793	1.622930351	0.275007047	0.137503524	0.98550043	0
